Speed_X,Speed_Y,Speed_Z,Speed_R,positioing_error_X,positioing_error_Y,acceleration_X,acceleration_Y,acceleration_Z,acceleration_R,visual_error_X,visual_error_Y,fit_error_X,fit_error_Y,vibration_X,vibration_Z,noise_X,PLC_step,absolute_position_X,absolute_position_Y,offset_X,offset_Y,offset_R,Grating_feedback_X,Grating_feedback_Y,setting_red_circle_X,setting_red_circle_Y,setting_blue_circle_X,setting_blue_circle_Y,setting_yellow_square_X,setting_yellow_square_Y,setting_blue_square_X,setting_blue_square_Y,visual_scanning_pixel_coordinate_X,visual_scanning_pixel_coordinate_Y,visual_setting_pixel_coordinate_X,visual_setting_pixel_coordinate_Y,visual_scanning_world_coordinate_X,visual_scanning_world_coordinate_Y,creation_date,x_release_coordinate_PLC,y_release_coordinate_PLC
0,0,0,0,-0.075294495,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,106.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.447,0,0
0,0,0,0,-0.075294495,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,106.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.56,0,0
0,0,0,0,-0.075294495,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,106.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.56,0,0
0,0,0,0,-0.075294495,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,106.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.67,0,0
18.75,0,0,0,0.09999847412109375,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,106.5,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.783,0,0
80,0,0,0,0.8199996948242188,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,113.5,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172858.907,0,0
80,0,0,0,0.8000030517578125,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,122.4,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.017,0,0
80,0,0,0,0.790008544921875,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,131.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.13,0,0
80,0,0,0,0.790008544921875,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,131.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,1740.081,1216.064,0,0,-20.233,14.259,1779172859.17,0,0
80,0,0,0,0.790008544921875,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,131.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,1063.887,1003.381,0,0,25.237,0.091,1779172859.173,0,0
80,0,0,0,0.790008544921875,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,131.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,1063.887,1003.381,0,0,25.237,0.091,1779172859.173,0,0
80,0,0,0,0.7700042724609375,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,86,1.1,230.7,120.6,-51,-11.5,1,141,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.25,0,0
80,0,0,0,0.80999755859375,-0.004997253,4950,1200,855,0,0,0,0,0,6,34,80.2,1.1,230.7,120.6,-51,-11.5,1,150.9,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.37,0,0
80,0,0,0,0.779998779296875,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,3933.1,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.48,0,0
80,0,0,0,0.7899932861328125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,168.6,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.593,0,0
80,0,0,0,0.7400054931640625,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,177.6,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.71,0,0
80,0,0,0,0.7899932861328125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,187.5,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.83,0,0
80,0,0,0,0.8000030517578125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,196.3,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172859.937,0,0
80,0,0,0,0.8000030517578125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,205.2,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.053,0,0
80,0,0,0,0.790008544921875,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,215,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.173,0,0
78.453125,0,0,0,0.7899932861328125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,223.9,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.283,0,0
25.79166603088379,0,0,0,0.1699981689453125,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,80.2,1.1,230.7,120.6,-51,-11.5,1,230,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.407,0,0
0,0,0,0,-0.104797363,-0.004997253,4950,1200,855,0,0,0,0,0,2,4,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.517,0,0
0,0,0,0,-0.104797363,-0.004997253,4950,1200,855,0,0,0,0,0,2,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.64,0,0
0,0,0,0,-0.104797363,-0.004997253,4950,1200,855,0,0,0,0,0,4,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,120.6,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.763,0,0
0,-10.24305534,0,0,-0.104797363,-0.009994507,4950,1200,855,0,0,0,0,0,4,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,120.5,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.873,0,0
0,-50.59027863,0,0,-0.104797363,0.04000091552734375,4950,1200,855,0,0,0,0,0,4,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,117,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172860.993,0,0
0,-80,0,0,-0.104797363,-0.049995422,4950,1200,855,0,0,0,0,0,4,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,109.1,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172861.107,0,0
0,-80,0,0,-0.104797363,-0.049995422,4950,1200,855,0,0,0,0,0,4,32,81.6,1.2,230.7,28.5,-51,-11.5,1,230.8,100.2,-50,122.8,-50,77.5,-50.4,32.5,-50.4,-12,0,0,0,0,0,0,1779172861.223,0,0
